1;1;
18;18;
20;20;
-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
-2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2;
-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;1;-2;
-2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2;1;-2;
-2;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;
-2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2;1;-2;
-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;-2;-2;2;1;-2;1;-2;
-2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2;1;-2;
-2;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;
-2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2;1;-2;
-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;1;-2;
-2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2;1;-2;
-2;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;
-2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2;1;-2;
-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;1;-1;
-2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2;1;-2;
-2;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;
-2;1;-2;1;-2;1;-2;1;-2;1;-2;1;-2;1;-2;1;1;-2;1;-2;
-2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2;4;-2;
-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;
17;15;
